        x1          x1,x3,x4     x1-x4
10:00 0.07927023   0.07927023   0.06105026
10:10 0.07954393   0.1944367(!) 0.06136811
10:15 0.06486287   0.06486287   0.1168753(!)
14:30 0.07079838   0.07079838   0.05567025
15:00 0.0610467    0.0610467    0.101218(!)
17:45 0.05158265   0.07977143   0.04078264

18:10 0.085716     0.1995651(!) 0.06838932
18:15 0.0815872    0.08195403   0.06491289
18:30 0.09525086   0.08602733   0.1466818(!?)

19:00 0.06891203   0.06891203   0.05672936
